n,mean,std,median,min,max,q1,q3,iqr,extreme_pct,within_1std_pct,fold,split
105,-4.470306742014112,6.17272539234126,-3.506461838575948,-24.291011284911367,14.68261173184358,-7.370692539310792,-1.0813172043010897,6.2893753350097015,15.238095238095239,76.19047619047619,0,train
35,-4.472400591555374,4.545364785865001,-4.980366889023679,-15.030662522741034,4.677616413093566,-6.672393157266848,-0.42465695216611365,6.247736205100734,8.571428571428571,68.57142857142857,0,val
36,-4.732245145912975,7.191635941885413,-4.076542832520312,-28.18257491675916,11.225947841332411,-8.283209170390155,-0.7653310439015898,7.517878126488565,16.666666666666664,83.33333333333334,0,test
106,-4.205365310640531,6.4419466566774455,-3.4439536015312493,-28.18257491675916,14.68261173184358,-7.677115440945137,-0.34305580766115484,7.3340596332839825,16.037735849056602,76.41509433962264,1,train
35,-4.682858330119587,5.889598341317169,-3.9444820582261793,-23.114528530959085,9.052208392994824,-7.878232600015638,-1.3505455626526757,6.527687037362962,14.285714285714285,80.0,1,val
35,-5.3316654110487205,5.183346921675228,-4.406274479085023,-24.291011284911367,1.8671517002974007,-7.245129443590362,-2.127871335500417,5.1172581080899455,8.571428571428571,82.85714285714286,1,test
106,-5.056117693703506,6.311051128803156,-4.34795098642531,-28.18257491675916,11.225947841332411,-8.176906101675975,-1.1659629451311446,7.010943156544831,15.09433962264151,77.35849056603774,2,train
35,-4.672354011182707,5.494972456494236,-3.4103143146833537,-23.114528530959085,2.5611193505581062,-7.687034771567684,-0.8193008669793167,6.867733904588367,14.285714285714285,77.14285714285715,2,val
35,-2.7656053698520218,5.781773382379127,-2.356115107913672,-18.381778526816763,14.68261173184358,-5.99566333299367,-0.7302676768355114,5.265395656158159,11.428571428571429,77.14285714285715,2,test
106,-4.814531089244287,6.442279610087985,-4.007445467005883,-28.18257491675916,14.68261173184358,-7.947346854907579,-1.096606547951426,6.850740306956153,16.037735849056602,83.01886792452831,3,train
35,-2.7145411223047256,4.747782063333737,-3.1671258700696137,-16.46481704865299,9.052208392994824,-5.200989782588314,0.3488857788264426,5.549875561414757,2.857142857142857,71.42857142857143,3,val
35,-5.455080546520778,5.965599941702928,-4.497841726618702,-23.114528530959085,7.197137650899671,-8.865317457603718,-1.2647219707523827,7.600595486851335,20.0,68.57142857142857,3,test
106,-5.199032693490716,6.115022968315627,-4.34795098642531,-28.18257491675916,14.68261173184358,-8.008738941517258,-1.556563481881589,6.452175459635669,16.037735849056602,83.9622641509434,4,train
35,-2.6741616057887008,5.973831393966669,-2.3159203980099616,-18.381778526816763,9.052208392994824,-5.683981933020959,0.4317359353994371,6.115717868420396,8.571428571428571,77.14285714285715,4,val
35,-4.33096949017619,5.869109853096357,-3.4103143146833537,-23.287499999999955,4.677616413093566,-7.891316705990581,-0.4317624726013273,7.459554233389254,14.285714285714285,71.42857142857143,4,test
