fold,split,n,mean,std,median,extreme_pct,conc_1std
0,train,105,-4.18388513551633,5.975305449692753,-3.4435780191067744,15.238095238095239,75.23809523809524
0,val,35,-5.331665411048721,5.183346921675228,-4.406274479085023,8.571428571428571,82.85714285714286
0,test,36,-4.732245145912976,7.191635941885413,-4.076542832520312,16.666666666666664,83.33333333333334
1,train,106,-4.838420533370386,6.395645445682556,-4.064764169872757,16.9811320754717,78.30188679245283
1,val,35,-2.7656053698520218,5.781773382379127,-2.356115107913672,11.428571428571429,77.14285714285715
1,test,35,-5.331665411048721,5.183346921675228,-4.406274479085023,8.571428571428571,82.85714285714286
2,train,106,-4.79767025278999,6.162606387817513,-4.082649337214772,13.20754716981132,80.18867924528303
2,val,35,-5.455080546520778,5.965599941702929,-4.497841726618702,20.0,68.57142857142857
2,test,35,-2.7656053698520218,5.781773382379127,-2.356115107913672,11.428571428571429,77.14285714285715
3,train,106,-4.2808047413622,6.2182080063435095,-3.9091097159817574,12.264150943396226,83.9622641509434
3,val,35,-4.33096949017619,5.869109853096356,-3.4103143146833537,14.285714285714285,71.42857142857143
3,test,35,-5.455080546520778,5.965599941702929,-4.497841726618702,20.0,68.57142857142857
4,train,105,-4.51745044247384,5.787786819548257,-4.070408875785588,13.333333333333334,79.04761904761905
4,val,36,-4.732245145912976,7.191635941885413,-4.076542832520312,16.666666666666664,83.33333333333334
4,test,35,-4.33096949017619,5.869109853096356,-3.4103143146833537,14.285714285714285,71.42857142857143
